id;content;image;image_content_type;is_active;created_at
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-19T22:15:46
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;2024-08-20T03:23:57
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-20T08:05:02
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-20T05:38:41
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-20T09:27:18
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;2024-08-20T13:30:55
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;false;2024-08-20T08:42:16
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-20T01:12:05
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-20T08:35:29
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;true;2024-08-20T04:29:31
